fmun;fregi;ano;hom_doloso;lesao_corp_morte;latrocinio;cvli;hom_por_interv_policial;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;registro_ocorrencias
Angra dos Reis;Sul Fluminense;2014;11;0;0;11;1;12;2;96;7;35;18;12;5;9;28;6;8;0;561
Aperibé;Noroeste Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Araruama;Baixadas Litorâneas;2014;2;0;0;2;0;2;6;69;7;13;9;4;1;4;34;5;5;0;480
Areal;Centro Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Armação dos Búzios;Baixadas Litorâneas;2014;2;0;0;2;0;2;0;44;6;16;6;10;2;2;26;8;3;2;309
Arraial do Cabo;Baixadas Litorâneas;2014;0;0;0;0;0;0;0;32;2;15;4;10;1;2;7;1;1;0;176
Barra do Piraí;Sul Fluminense;2014;1;0;0;1;0;1;3;52;5;12;7;5;1;2;19;3;19;0;248
Barra Mansa;Sul Fluminense;2014;5;0;0;5;0;5;6;62;4;19;8;10;1;11;28;1;25;0;430
Belford Roxo;Metropolitana do Rio de Janeiro;2014;29;0;0;29;0;29;7;256;11;35;2;29;4;91;64;15;16;0;1367
Bom Jardim;Centro Fluminense;2014;0;0;0;0;0;0;0;7;1;4;2;2;0;0;1;0;3;1;59
Bom Jesus do Itabapoana;Noroeste Fluminense;2014;0;0;0;0;0;0;0;23;2;9;8;1;0;0;3;2;0;1;115
Cabo Frio;Baixadas Litorâneas;2014;9;0;0;9;0;9;12;119;9;51;14;34;5;26;80;28;8;0;1105
Cachoeiras de Macacu;Centro Fluminense;2014;2;0;0;2;0;2;5;31;2;5;2;2;1;0;3;1;2;0;175
Cambuci;Noroeste Fluminense;2014;0;0;0;0;0;0;0;6;0;2;1;1;0;0;0;0;0;0;42
Carapebus;Norte Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comendador Levy Gasparian;Centro Fluminense;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campos dos Goytacazes;Norte Fluminense;2014;18;0;0;18;0;18;33;193;20;95;32;49;22;41;151;52;25;1;1397
